Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,RSI,Unemployment_Rate,CPI,Fed_Funds_Rate,SP500
2019-04-24,51.84,52.119999,51.762501,51.790001,50.200836,70162400,51.3080002,49.53900015,84.43148324932545,3.7,255.233,2.42,2867.19
2019-04-25,51.7075,51.939999,51.279999,51.32,49.745258,74172800,51.415499999999994,49.749125150000005,75.65541451997551,3.7,255.233,2.42,2867.19
2019-04-26,51.224998,51.25,50.529999,51.075001,49.507774,74596400,51.4375002,49.943875199999994,69.8801808539911,3.7,255.233,2.42,2867.19
2019-04-29,51.099998,51.4925,50.965,51.1525,49.582897,88818800,51.44150020000001,50.12712525,64.48296184095665,3.7,255.233,2.42,2867.19
2019-04-30,50.764999,50.849998,49.7775,50.1675,48.628113,186139600,51.1010004,50.2450002,53.093603886708706,3.7,255.233,2.42,2867.19
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.015064,259309200,51.269000399999996,50.4512502,67.90884744105568,3.6,255.296,2.39,2923.73
2019-05-02,52.459999,53.162498,52.032501,52.287498,50.683075,127985200,51.4625,50.62375,68.65397678800628,3.6,255.296,2.39,2923.73
2019-05-03,52.7225,52.959999,52.557499,52.9375,51.313122,83569600,51.834999800000006,50.82449995,71.5673121631699,3.6,255.296,2.39,2923.73
2019-05-06,51.072498,52.209999,50.875,52.119999,50.52071,129772400,52.028499599999996,50.9679999,64.11351157106543,3.6,255.296,2.39,2923.73
2019-05-07,51.470001,51.855,50.2075,50.715,49.158825,155054800,52.1379996,51.002499799999995,54.70419500564088,3.6,255.296,2.39,2923.73
2019-05-08,50.474998,51.334999,50.4375,50.724998,49.168507,105358000,51.75699899999999,51.0449997,49.666938855133345,3.6,255.296,2.39,2923.73
2019-05-09,50.099998,50.419998,49.165001,50.18,48.64024,139634400,51.3354994,51.04624975,45.63646373239881,3.6,255.296,2.39,2923.73
2019-05-10,49.355,49.712502,48.192501,49.294998,47.966396,164834800,50.606998999999995,51.0241247,40.540530244530245,3.6,255.296,2.39,2923.73
2019-05-13,46.927502,47.369999,45.712502,46.43,45.178623,229722400,49.4689992,50.85974975,27.02702930971533,3.6,255.296,2.39,2923.73
2019-05-14,46.602501,47.424999,46.352501,47.165001,45.893818,146118800,48.75899940000001,50.72762485,31.492600001184485,3.6,255.296,2.39,2923.73
2019-05-15,46.567501,47.9375,46.505001,47.73,46.443577,106178800,48.159999799999994,50.623499849999995,35.742652899126284,3.6,255.296,2.39,2923.73
2019-05-16,47.477501,48.1175,47.209999,47.52,46.239246,132125600,47.6279998,50.4603748,35.842291051987985,3.6,255.296,2.39,2923.73
2019-05-17,46.732498,47.724998,46.689999,47.25,45.976524,131516400,47.219000199999996,50.274624800000005,34.69307947549251,3.6,255.296,2.39,2923.73
2019-05-20,45.880001,46.087502,45.07,45.772499,44.538841,154449200,47.0875,50.00662475,33.402567960143216,3.6,255.296,2.39,2923.73
2019-05-21,46.305,47.0,46.174999,46.650002,45.392693,113459200,46.9845002,49.7456249,24.345789641445847,3.6,255.296,2.39,2923.73
2019-05-22,46.165001,46.427502,45.637501,45.695,44.463432,118994400,46.577500199999996,49.44087485,23.13023904455214,3.6,255.296,2.39,2923.73
2019-05-23,44.950001,45.134998,44.452499,44.915001,43.70446,146118800,46.056500400000004,49.120624899999996,17.644693071611712,3.6,255.296,2.39,2923.73
2019-05-24,45.049999,45.535,44.654999,44.7425,43.536598,94858800,45.555000400000004,48.803999850000004,18.613067975914177,3.6,255.296,2.39,2923.73
2019-05-28,44.73,45.147499,44.477501,44.557499,43.35659,111792800,45.3120004,48.4742498,20.769051762909484,3.6,255.296,2.39,2923.73
2019-05-29,44.105,44.837502,44.0,44.345001,43.149811,113924800,44.8510002,48.18312485,20.28413965045,3.6,255.296,2.39,2923.73
2019-05-30,44.487499,44.807499,44.1675,44.575001,43.373615,84873600,44.6270004,47.78037485,23.104624230026715,3.6,255.296,2.39,2923.73
2019-05-31,44.057499,44.497501,43.747501,43.767502,42.587879,108174400,44.3975006,47.35437505,23.27776199608175,3.6,255.296,2.39,2923.73
2019-07-01,50.7925,51.122501,50.162498,50.387501,49.029465,109012000,49.729001,48.595375,64.29178965224762,3.7,255.802,2.4,2964.33
2019-07-02,50.352501,50.782501,50.34,50.682499,49.316502,67740800,50.0870004,48.883999949999996,67.68846727423366,3.7,255.802,2.4,2964.33
2019-07-03,50.82,51.110001,50.672501,51.102501,49.725189,45448000,50.3175004,49.1573751,69.89917298668314,3.7,255.802,2.4,2964.33
2019-07-05,50.837502,51.27,50.724998,51.057499,49.681393,69062000,50.542,49.39500005,73.40119045136265,3.7,255.802,2.4,2964.33
2019-07-08,50.202499,50.349998,49.602501,50.005001,48.657269,101354400,50.6470002,49.5183752,61.101052763033955,3.7,255.802,2.4,2964.33
2019-07-09,49.799999,50.377499,49.702499,50.310001,48.954048,82312000,50.6315002,49.626625250000004,55.74784952758169,3.7,255.802,2.4,2964.33
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.438133,71588400,50.656500199999996,49.73187525,60.43613382051909,3.7,255.802,2.4,2964.33
2019-07-11,50.827499,51.0975,50.427502,50.4375,49.078102,80767200,50.5235,49.8263752,54.47788955115827,3.7,255.802,2.4,2964.33
2019-07-12,50.612499,51.0,50.549999,50.825001,49.455166,70380800,50.477000399999994,49.94075035,58.54766651180024,3.7,255.802,2.4,2964.33
2019-07-15,51.022499,51.467499,51.0,51.302502,49.9198,67789600,50.7365006,50.09662540000001,61.77621649057659,3.7,255.802,2.4,2964.33
2019-07-16,51.147499,51.5275,50.875,51.125,49.747074,67467200,50.8995004,50.2292504,67.27270645332104,3.7,255.802,2.4,2964.33
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.467335,56430000,50.905501,50.290500550000004,57.79535216594605,3.7,255.802,2.4,2964.33
2019-07-18,51.0,51.470001,50.924999,51.415001,50.029263,74162400,51.1010012,50.38787565,61.83053557154276,3.7,255.802,2.4,2964.33
2019-07-19,51.447498,51.625,50.59,50.647499,49.282452,83717200,51.0655008,50.427000500000005,58.88845696407211,3.7,255.802,2.4,2964.33
2019-07-22,50.912498,51.807499,50.9025,51.805,50.40876,89111600,51.1660004,50.5325005,60.396030744990036,3.7,255.802,2.4,2964.33
2019-07-23,52.115002,52.227501,51.822498,52.209999,50.802837,73420800,51.383000200000005,50.66075045,61.02489757491235,3.7,255.802,2.4,2964.33
2019-07-24,51.9175,52.287498,51.7925,52.1675,50.761478,59966400,51.6489998,50.82450035,58.12976459996408,3.7,255.802,2.4,2964.33
2019-07-25,52.2225,52.310001,51.682499,51.755001,50.3601,55638400,51.71699980000001,50.914750350000006,55.04157862902994,3.7,255.802,2.4,2964.33
2019-07-26,51.869999,52.432499,51.785,51.935001,50.535252,70475600,51.9745002,51.01475035,65.96361156777888,3.7,255.802,2.4,2964.33
2019-07-29,52.115002,52.66,52.110001,52.419998,51.007175,86693600,52.0974998,51.16175025,66.94778068094837,3.7,255.802,2.4,2964.33
2019-07-30,52.189999,52.540001,51.827499,52.195,50.788242,135742800,52.094500000000004,51.2521252,61.654785094317624,3.7,255.802,2.4,2964.33
2019-07-31,54.105,55.342499,52.825001,53.259998,51.824535,277125600,52.3129996,51.38100015,71.22978975234884,3.7,255.802,2.4,2964.33
2019-08-01,53.474998,54.5075,51.685001,52.107498,50.703094,216071600,52.38349900000001,51.43125,58.650915420763305,3.6,256.036,2.13,2953.56
2019-08-02,51.3825,51.607498,50.407501,51.005001,49.630322,163448400,52.19749900000001,51.4286251,48.149291401829615,3.6,256.036,2.13,2953.56
2019-08-05,49.497501,49.662498,48.145,48.334999,47.032276,209572000,51.38049920000001,51.34512500000001,36.75211816460588,3.6,256.036,2.13,2953.56
2019-08-06,49.077499,49.517502,48.509998,49.25,47.922607,143299200,50.791499200000004,51.29212495,42.88593709052177,3.6,256.036,2.13,2953.56
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.418869,133457600,50.0914992,51.23974990000001,42.53830323216677,3.6,256.036,2.13,2953.56
2019-08-08,50.049999,50.8825,49.8475,50.857498,49.486782,108038000,49.8414992,51.2607498,50.91943608702249,3.6,256.036,2.13,2953.56
